snapped_at,price,market_cap,total_volume
2013-04-28 00:00:00 UTC,13203.1967,146427412362.00998,0.0
2013-04-29 00:00:00 UTC,14108.4087,156531383685.63,0.0
2013-04-30 00:00:00 UTC,13629.7741,151273114598.3912,0.0
2013-05-01 00:00:00 UTC,11364.3607,126168837145.505,0.0
2013-05-02 00:00:00 UTC,10350.6908,114952184302.06282,0.0
2013-05-03 00:00:00 UTC,9602.7634,106680939715.95999,0.0
2013-05-04 00:00:00 UTC,11128.1292,123669960060.13704,0.0
2013-05-05 00:00:00 UTC,11470.4956,127519793684.32,0.0
2013-05-06 00:00:00 UTC,11124.2848,123717342891.10268,0.0
2013-05-07 00:00:00 UTC,10880.571,121053152731.875,0.0
2013-05-08 00:00:00 UTC,11212.6763,124794284049.925,0.0
2013-05-09 00:00:00 UTC,11162.7722,124285189397.58,0.0
2013-05-10 00:00:00 UTC,11759.7846,130982244842.49,0.0
2013-05-11 00:00:00 UTC,11692.9992,130291874484.95282,0.0
2013-05-12 00:00:00 UTC,11657.2829,129944023936.15622,0.0
2013-05-13 00:00:00 UTC,11999.2777,133808745343.78,0.0
2013-05-14 00:00:00 UTC,11334.1774,126435865845.27922,0.0
2013-05-15 00:00:00 UTC,11652.9114,130033090416.72153,0.0
2013-05-16 00:00:00 UTC,12063.1261,134655549773.48618,0.0
2013-05-17 00:00:00 UTC,12634.1738,141080449249.4183,0.0
2013-05-18 00:00:00 UTC,12687.0613,141716060603.6625,0.0
2013-05-19 00:00:00 UTC,12606.8082,140870681052.23648,0.0
2013-05-20 00:00:00 UTC,12526.8678,140018438491.11,0.0
2013-05-21 00:00:00 UTC,12598.8455,140868636500.16898,0.0
2013-05-22 00:00:00 UTC,12701.8326,142073808180.78,0.0
2013-05-23 00:00:00 UTC,13002.9701,145495108614.38998,0.0
2013-05-24 00:00:00 UTC,13574.428,151945020405.7646,0.0
2013-05-25 00:00:00 UTC,13402.6118,150077755971.02502,0.0
2013-05-26 00:00:00 UTC,13519.5232,151443670957.92,0.0
2013-05-27 00:00:00 UTC,13131.0682,147150689620.56152,0.0
